Datetime,Frames,Bytes
2022-07-07 20:00:00,65422,3913146
2022-07-07 20:00:05,58564,3511114
2022-07-07 20:00:10,58907,3531406
2022-07-07 20:00:15,57761,3463180
2022-07-07 20:00:20,52116,3119156
2022-07-07 20:00:25,42069,2496076
2022-07-07 20:00:30,45805,2717760
2022-07-07 20:00:35,45462,2697410
2022-07-07 20:00:40,51550,3058630
2022-07-07 20:00:45,48967,2905376
2022-07-07 20:00:50,42158,2501366
2022-07-07 20:00:55,48728,2891196
2022-07-07 20:01:00,45537,2701860
2022-07-07 20:01:05,55809,3311334
2022-07-07 20:01:10,43986,2609838
2022-07-07 20:01:15,45155,2679192
2022-07-07 20:01:20,46661,2768552
2022-07-07 20:01:25,46367,2751110
2022-07-07 20:01:30,55188,3274488
2022-07-07 20:01:35,41452,2459484
2022-07-07 20:01:40,45947,2726188
2022-07-07 20:01:45,45402,2693854
2022-07-07 20:01:50,49952,2963816
2022-07-07 20:01:55,51761,3071170
2022-07-07 20:02:00,42102,2498052
2022-07-07 20:02:05,47475,2816850
2022-07-07 20:02:10,45393,2693318
2022-07-07 20:02:15,53716,3187148
2022-07-07 20:02:20,66846,3986480
2022-07-07 20:02:25,51439,3084352
2022-07-07 20:02:30,53037,3180426
2022-07-07 20:02:35,52828,3168000
2022-07-07 20:02:40,51787,3104830
2022-07-07 20:02:45,71226,4226032
2022-07-07 20:02:50,60476,3588240
2022-07-07 20:02:55,57040,3384368
2022-07-07 20:03:00,60200,3571866
2022-07-07 20:03:05,60055,3563264
2022-07-07 20:03:10,68845,4084804
2022-07-07 20:03:15,59822,3549438
2022-07-07 20:03:20,59333,3520424
2022-07-07 20:03:25,62928,3733730
2022-07-07 20:03:30,65011,3857378
2022-07-07 20:03:35,64497,3826788
2022-07-07 20:03:40,58725,3484350
2022-07-07 20:03:45,59271,3516748
2022-07-07 20:03:50,65536,3888468
2022-07-07 20:03:55,64215,3810092
2022-07-07 20:04:00,63063,3741738
2022-07-07 20:04:05,59042,3503156
2022-07-07 20:04:10,62892,3731592
2022-07-07 20:04:15,71284,4229516
2022-07-07 20:04:20,63001,3738060
2022-07-07 20:04:25,62273,3694868
2022-07-07 20:04:30,68194,4046162
2022-07-07 20:04:35,87956,5218720
2022-07-07 20:04:40,53747,3214778
2022-07-07 20:04:45,53097,3183582
2022-07-07 20:04:50,52740,3162488
2022-07-07 20:04:55,52309,3136484
2022-07-07 20:05:00,65876,3932478
2022-07-07 20:05:05,72562,4305756
2022-07-07 20:05:10,59914,3554890
2022-07-07 20:05:15,61270,3635348
2022-07-07 20:05:20,61915,3673624
2022-07-07 20:05:25,66763,3961270
2022-07-07 20:05:30,69193,4105450
2022-07-07 20:05:35,62966,3735984
2022-07-07 20:05:40,62079,3683354
2022-07-07 20:05:45,54516,3234616
2022-07-07 20:05:50,65282,3876238
2022-07-07 20:05:55,70351,4174152
2022-07-07 20:06:00,61084,3624318
2022-07-07 20:06:05,61336,3639270
2022-07-07 20:06:10,51234,3039884
2022-07-07 20:06:15,66508,3946142
2022-07-07 20:06:20,71803,4260312
2022-07-07 20:06:25,61269,3635292
2022-07-07 20:06:30,58401,3465126
2022-07-07 20:06:35,53146,3153330
2022-07-07 20:06:40,73722,4374170
2022-07-07 20:06:45,73646,4369664
2022-07-07 20:06:50,63189,3749212
2022-07-07 20:06:55,77338,4595790
2022-07-07 20:07:00,54751,3278024
2022-07-07 20:07:05,52487,3147038
2022-07-07 20:07:10,53007,3177960
2022-07-07 20:07:15,54385,3261172
2022-07-07 20:07:20,71525,4258270
2022-07-07 20:07:25,54584,3238638
2022-07-07 20:07:30,58895,3494436
2022-07-07 20:07:35,59936,3556202
2022-07-07 20:07:40,54194,3215510
2022-07-07 20:07:45,68174,4044992
2022-07-07 20:07:50,53501,3174392
2022-07-07 20:07:55,59798,3548016
2022-07-07 20:08:00,57619,3418726
2022-07-07 20:08:05,51210,3038454
2022-07-07 20:08:10,77233,4582920
2022-07-07 20:08:15,61947,3675526
2022-07-07 20:08:20,59987,3559226
2022-07-07 20:08:25,56340,3342842
2022-07-07 20:08:30,55566,3296916
2022-07-07 20:08:35,74446,4417126
2022-07-07 20:08:40,60394,3583378
2022-07-07 20:08:45,59351,3521488
2022-07-07 20:08:50,53451,3171426
2022-07-07 20:08:55,58968,3498768
2022-07-07 20:09:00,72152,4281306
2022-07-07 20:09:05,70017,4161242
2022-07-07 20:09:10,63308,3756262
2022-07-07 20:09:15,75857,4500838
2022-07-07 20:09:20,64155,3830474
2022-07-07 20:09:25,54719,3280478
2022-07-07 20:09:30,60169,3597658
2022-07-07 20:09:35,52118,3125132
2022-07-07 20:09:40,57345,3431200
2022-07-07 20:09:45,64771,3843070
2022-07-07 20:09:50,52951,3141756
2022-07-07 20:09:55,58912,3495444
2022-07-07 20:10:00,60242,3574358
2022-07-07 20:10:05,57885,3434504
2022-07-07 20:10:10,62605,3714552
2022-07-07 20:10:15,55331,3282972
2022-07-07 20:10:20,57619,3418704
2022-07-07 20:10:25,59723,3543550
2022-07-07 20:10:30,60335,3579832
2022-07-07 20:10:35,61619,3656106
2022-07-07 20:10:40,54084,3208986
2022-07-07 20:10:45,60262,3575538
2022-07-07 20:10:50,55428,3288706
2022-07-07 20:10:55,64402,3821626
2022-07-07 20:11:00,57007,3382414
2022-07-07 20:11:05,55558,3296432
2022-07-07 20:11:10,60829,3609196
2022-07-07 20:11:15,51206,3038216
2022-07-07 20:11:20,72364,4293790
2022-07-07 20:11:25,66847,3966296
2022-07-07 20:11:30,75492,4479498
2022-07-07 20:11:35,69208,4106306
2022-07-07 20:11:40,63559,3793834
2022-07-07 20:11:45,53399,3201136
2022-07-07 20:11:50,52007,3118622
2022-07-07 20:11:55,53250,3192600
2022-07-07 20:12:00,56375,3375476
2022-07-07 20:12:05,69503,4123822
2022-07-07 20:12:10,57296,3399564
2022-07-07 20:12:15,59791,3547594
2022-07-07 20:12:20,56431,3348240
2022-07-07 20:12:25,59568,3534366
2022-07-07 20:12:30,64853,3847946
2022-07-07 20:12:35,58535,3473052
2022-07-07 20:12:40,58847,3491588
2022-07-07 20:12:45,55635,3301010
2022-07-07 20:12:50,59627,3537870
2022-07-07 20:12:55,65281,3873340
2022-07-07 20:13:00,59622,3537576
2022-07-07 20:13:05,58680,3481676
2022-07-07 20:13:10,54478,3232360
2022-07-07 20:13:15,61800,3666800
2022-07-07 20:13:20,66168,3926144
2022-07-07 20:13:25,59686,3541370
2022-07-07 20:13:30,58178,3451892
2022-07-07 20:13:35,55749,3307772
2022-07-07 20:13:40,62510,3708928
2022-07-07 20:13:45,66360,3937372
2022-07-07 20:13:50,61270,3635352
2022-07-07 20:13:55,85879,5097134
2022-07-07 20:14:00,63568,3788054
2022-07-07 20:14:05,52430,3142998
2022-07-07 20:14:10,52137,3126130
2022-07-07 20:14:15,51906,3112416
2022-07-07 20:14:20,62079,3708602
2022-07-07 20:14:25,72662,4320134
2022-07-07 20:14:30,61066,3623236
2022-07-07 20:14:35,60963,3617138
2022-07-07 20:14:40,61475,3647514
2022-07-07 20:14:45,57083,3386926
2022-07-07 20:14:50,72900,4325430
2022-07-07 20:14:55,60776,3606026
2022-07-07 20:15:00,70587,4201242
2022-07-07 20:15:05,60640,3612464
2022-07-07 20:15:10,61142,3640190
2022-07-07 20:15:15,37422,2220540
2022-07-07 20:15:20,45100,2675932
2022-07-07 20:15:25,34899,2071508
2022-07-07 20:15:30,48643,2886356
2022-07-07 20:15:35,38565,2288180
2022-07-07 20:15:40,40078,2377960
2022-07-07 20:15:45,42612,2528306
2022-07-07 20:15:50,40207,2385574
2022-07-07 20:15:55,37308,2213634
