Datetime,Frames,Bytes
2022-07-07 15:30:00,70613,48126686
2022-07-07 15:30:05,35469,24469697
2022-07-07 15:30:10,41960,29593257
2022-07-07 15:30:15,37590,25741798
2022-07-07 15:30:20,36420,24876630
2022-07-07 15:30:25,38950,27439170
2022-07-07 15:30:30,34755,23495056
2022-07-07 15:30:35,35828,24176217
2022-07-07 15:30:40,43736,30581703
2022-07-07 15:30:45,37452,26256770
2022-07-07 15:30:50,39868,26781662
2022-07-07 15:30:55,32496,22890292
2022-07-07 15:31:00,37687,25906031
2022-07-07 15:31:05,43778,31721280
2022-07-07 15:31:10,38588,26330621
2022-07-07 15:31:15,39319,28830594
2022-07-07 15:31:20,39618,28242141
2022-07-07 15:31:25,44911,32939873
2022-07-07 15:31:30,48095,35512080
2022-07-07 15:31:35,36722,26117150
2022-07-07 15:31:40,43517,30734291
2022-07-07 15:31:45,35576,24287284
2022-07-07 15:31:50,43281,29896667
2022-07-07 15:31:55,36574,24954519
2022-07-07 15:32:00,38110,26031736
2022-07-07 15:32:05,36594,24066759
2022-07-07 15:32:10,42034,29907351
2022-07-07 15:32:15,35523,24215239
2022-07-07 15:32:20,39115,26088030
2022-07-07 15:32:25,36881,25370144
2022-07-07 15:32:30,35017,23207923
2022-07-07 15:32:35,42471,30288090
2022-07-07 15:32:40,41285,29255985
2022-07-07 15:32:45,31780,20855524
2022-07-07 15:32:50,42908,30902181
2022-07-07 15:32:55,36918,25424332
2022-07-07 15:33:00,37932,26550360
2022-07-07 15:33:05,44531,32021308
2022-07-07 15:33:10,37779,25297454
2022-07-07 15:33:15,43555,29830158
2022-07-07 15:33:20,39592,27141701
2022-07-07 15:33:25,37492,26089941
2022-07-07 15:33:30,31184,20322220
2022-07-07 15:33:35,47273,35247592
2022-07-07 15:33:40,44521,32524152
2022-07-07 15:33:45,35020,23851968
2022-07-07 15:33:50,33660,21592485
2022-07-07 15:33:55,30486,19537911
2022-07-07 15:34:00,47961,36088210
2022-07-07 15:34:05,39087,28374808
2022-07-07 15:34:10,38012,25584513
2022-07-07 15:34:15,40020,28329887
