Datetime,Frames,Bytes
2022-07-09 19:30:00,86816,13513849
2022-07-09 19:30:05,73474,11328000
2022-07-09 19:30:10,68136,9302801
2022-07-09 19:30:15,66438,8218899
2022-07-09 19:30:20,69157,11939481
2022-07-09 19:30:25,74795,25710093
2022-07-09 19:30:30,85181,32437422
2022-07-09 19:30:35,84288,32106106
2022-07-09 19:30:40,83131,32877814
2022-07-09 19:30:45,89687,36128497
2022-07-09 19:30:50,85123,33360183
2022-07-09 19:30:55,87668,32997326
2022-07-09 19:31:00,77965,25463744
2022-07-09 19:31:05,83727,30784116
2022-07-09 19:31:10,87089,33347118
2022-07-09 19:31:15,82909,30171949
2022-07-09 19:31:20,79697,27773490
2022-07-09 19:31:25,88917,35668199
2022-07-09 19:31:30,78372,27966793
2022-07-09 19:31:35,86183,33612532
2022-07-09 19:31:40,81612,30190502
2022-07-09 19:31:45,80522,28265649
2022-07-09 19:31:50,84663,32565310
2022-07-09 19:31:55,84091,30141635
2022-07-09 19:32:00,80676,29228754
2022-07-09 19:32:05,86760,32896183
2022-07-09 19:32:10,96952,30289116
2022-07-09 19:32:15,103892,22199120
2022-07-09 19:32:20,59752,5557496
2022-07-09 19:32:25,58596,5381441
2022-07-09 19:32:30,57996,5152515
2022-07-09 19:32:35,58433,5078281
2022-07-09 19:32:40,97082,28709680
2022-07-09 19:32:45,90388,23568597
2022-07-09 19:32:50,102137,35969760
2022-07-09 19:32:55,103279,36480183
2022-07-09 19:33:00,92115,32183206
2022-07-09 19:33:05,97095,32111774
2022-07-09 19:33:10,94392,27054256
2022-07-09 19:33:15,99760,34187316
2022-07-09 19:33:20,95059,32690521
2022-07-09 19:33:25,83586,27147864
2022-07-09 19:33:30,99282,32534413
2022-07-09 19:33:35,102453,35519907
2022-07-09 19:33:40,99138,33605827
2022-07-09 19:33:45,85689,29938081
2022-07-09 19:33:50,96349,32275397
2022-07-09 19:33:55,91136,25069738
2022-07-09 19:34:00,95663,30791967
2022-07-09 19:34:05,96914,32561803
2022-07-09 19:34:10,84137,30153032
2022-07-09 19:34:15,98486,32399211
2022-07-09 19:34:20,98836,33063087
2022-07-09 19:34:25,96398,33692797
2022-07-09 19:34:30,98114,30347756
2022-07-09 19:34:35,118209,26711864
2022-07-09 19:34:40,64851,6460384
2022-07-09 19:34:45,62658,6247822
2022-07-09 19:34:50,60481,5591731
2022-07-09 19:34:55,62799,6812591
2022-07-09 19:35:00,93595,28993174
2022-07-09 19:35:05,82314,27059406
2022-07-09 19:35:10,89925,27841973
2022-07-09 19:35:15,91203,31613005
2022-07-09 19:35:20,67168,19226316
2022-07-09 19:35:25,98806,32195577
2022-07-09 19:35:30,91154,32218272
2022-07-09 19:35:35,92772,29947711
2022-07-09 19:35:40,82323,24360131
2022-07-09 19:35:45,86543,34070456
2022-07-09 19:35:50,84456,23697253
2022-07-09 19:35:55,95639,33839758
2022-07-09 19:36:00,91992,30503635
2022-07-09 19:36:05,83958,26811341
2022-07-09 19:36:10,86252,29928967
2022-07-09 19:36:15,92816,31991193
2022-07-09 19:36:20,89209,28819594
2022-07-09 19:36:25,97574,36934661
2022-07-09 19:36:30,84104,32495792
2022-07-09 19:36:35,93725,28998427
2022-07-09 19:36:40,96763,38973515
2022-07-09 19:36:45,93770,31116884
2022-07-09 19:36:50,92904,32236813
2022-07-09 19:36:55,112845,31752235
2022-07-09 19:37:00,63489,5692152
2022-07-09 19:37:05,65092,6640659
2022-07-09 19:37:10,61679,5803129
2022-07-09 19:37:15,61385,6010922
2022-07-09 19:37:20,81960,20151837
2022-07-09 19:37:25,68050,17553734
2022-07-09 19:37:30,86338,31272854
2022-07-09 19:37:35,82956,26486952
2022-07-09 19:37:40,81632,25229726
2022-07-09 19:37:45,87347,26313994
2022-07-09 19:37:50,92176,35843929
2022-07-09 19:37:55,83068,27881311
2022-07-09 19:38:00,89708,32289811
2022-07-09 19:38:05,87923,26830212
2022-07-09 19:38:10,91792,35426895
2022-07-09 19:38:15,90727,34348673
2022-07-09 19:38:20,86360,29336613
2022-07-09 19:38:25,86865,28936012
2022-07-09 19:38:30,95190,34286473
2022-07-09 19:38:35,88927,32992732
2022-07-09 19:38:40,81277,26786198
2022-07-09 19:38:45,77579,21653038
2022-07-09 19:38:50,104108,39672637
2022-07-09 19:38:55,85424,29608619
2022-07-09 19:39:00,86050,31248480
2022-07-09 19:39:05,86834,30291903
2022-07-09 19:39:10,91052,33804860
2022-07-09 19:39:15,108994,29890773
2022-07-09 19:39:20,69131,7988621
2022-07-09 19:39:25,66540,6114854
2022-07-09 19:39:30,63780,6109269
2022-07-09 19:39:35,68265,8162141
2022-07-09 19:39:40,88810,23962594
2022-07-09 19:39:45,80183,29878005
2022-07-09 19:39:50,88265,34215590
2022-07-09 19:39:55,79090,24808468
2022-07-09 19:40:00,75598,23229130
2022-07-09 19:40:05,91869,30022605
2022-07-09 19:40:10,84395,32620230
2022-07-09 19:40:15,76235,23852087
2022-07-09 19:40:20,87263,32652910
2022-07-09 19:40:25,96429,36424471
2022-07-09 19:40:30,84574,26442401
2022-07-09 19:40:35,84496,31629422
2022-07-09 19:40:40,95888,40336527
2022-07-09 19:40:45,88929,34543559
2022-07-09 19:40:50,90931,29080130
2022-07-09 19:40:55,82540,30526720
