Datetime,Frames,Bytes
2022-08-11 00:15:00,165319,9808928
2022-08-11 00:15:05,166880,9901546
2022-08-11 00:15:10,166643,9887484
2022-08-11 00:15:15,164897,9783890
2022-08-11 00:15:20,133148,7900114
2022-08-11 00:15:25,42170,2502086
2022-08-11 00:15:30,46357,2750516
2022-08-11 00:15:35,44796,2657896
2022-08-11 00:15:40,51018,3027068
2022-08-11 00:15:45,49461,2934686
2022-08-11 00:15:50,41608,2468742
2022-08-11 00:15:55,48526,2879208
2022-08-11 00:16:00,45301,2687860
2022-08-11 00:16:05,54618,3240668
2022-08-11 00:16:10,45459,2697234
2022-08-11 00:16:15,44211,2623186
2022-08-11 00:16:20,46717,2771876
2022-08-11 00:16:25,45860,2721026
2022-08-11 00:16:30,55376,3285642
2022-08-11 00:16:35,41655,2471530
2022-08-11 00:16:40,45937,2725596
2022-08-11 00:16:45,45360,2691360
2022-08-11 00:16:50,48712,2890246
2022-08-11 00:16:55,52793,3132384
2022-08-11 00:17:00,41754,2477404
2022-08-11 00:17:05,46407,2753482
2022-08-11 00:17:10,45878,2722094
2022-08-11 00:17:15,52243,3099752
2022-08-11 00:17:20,120003,7120178
2022-08-11 00:17:25,147043,8724552
2022-08-11 00:17:30,153138,9086188
2022-08-11 00:17:35,152627,9055868
2022-08-11 00:17:40,148393,8804652
2022-08-11 00:17:45,81302,4823918
2022-08-11 00:17:50,61464,3646864
2022-08-11 00:17:55,57388,3405022
2022-08-11 00:18:00,58457,3468448
2022-08-11 00:18:05,56817,3371142
2022-08-11 00:18:10,71382,4235332
2022-08-11 00:18:15,60071,3564212
2022-08-11 00:18:20,58936,3496870
2022-08-11 00:18:25,62794,3725778
2022-08-11 00:18:30,63296,3755562
2022-08-11 00:18:35,66010,3916594
2022-08-11 00:18:40,59063,3504404
2022-08-11 00:18:45,57831,3431306
2022-08-11 00:18:50,63771,3783746
2022-08-11 00:18:55,65376,3878976
2022-08-11 00:19:00,63717,3780542
2022-08-11 00:19:05,58626,3478476
2022-08-11 00:19:10,61806,3667156
2022-08-11 00:19:15,69048,4096848
2022-08-11 00:19:20,64851,3847826
2022-08-11 00:19:25,62664,3718064
2022-08-11 00:19:30,64794,3844444
2022-08-11 00:19:35,82203,4877378
2022-08-11 00:19:40,114966,6821318
2022-08-11 00:19:45,155557,9229714
2022-08-11 00:19:50,150970,8957554
2022-08-11 00:19:55,151659,8998434
2022-08-11 00:20:00,151565,8992856
2022-08-11 00:20:05,83672,4964538
2022-08-11 00:20:10,58998,3500548
2022-08-11 00:20:15,60439,3586048
2022-08-11 00:20:20,61898,3672614
2022-08-11 00:20:25,61501,3649060
2022-08-11 00:20:30,74615,4427156
2022-08-11 00:20:35,61191,3630666
2022-08-11 00:20:40,62622,3715572
2022-08-11 00:20:45,60966,3617316
2022-08-11 00:20:50,62749,3723108
2022-08-11 00:20:55,74813,4438904
2022-08-11 00:21:00,60690,3600940
2022-08-11 00:21:05,60666,3599516
2022-08-11 00:21:10,56001,3322726
2022-08-11 00:21:15,58679,3481620
2022-08-11 00:21:20,74347,4411256
