Datetime,Frames,Bytes
2022-08-11 11:05:00,177569,17739926
2022-08-11 11:05:05,185039,16183439
2022-08-11 11:05:10,178442,14457313
2022-08-11 11:05:15,175549,13375940
2022-08-11 11:05:20,151475,13467422
2022-08-11 11:05:25,68004,19645938
2022-08-11 11:05:30,75260,25602903
2022-08-11 11:05:35,74567,23899508
2022-08-11 11:05:40,72920,25302382
2022-08-11 11:05:45,78309,26427413
2022-08-11 11:05:50,74243,25035370
2022-08-11 11:05:55,76901,24886676
2022-08-11 11:06:00,71569,21357788
2022-08-11 11:06:05,76593,24464116
2022-08-11 11:06:10,76423,25778656
2022-08-11 11:06:15,72279,22247073
2022-08-11 11:06:20,72765,22074498
2022-08-11 11:06:25,78004,27387913
2022-08-11 11:06:30,69062,21552796
2022-08-11 11:06:35,74886,24048413
2022-08-11 11:06:40,70675,22259356
2022-08-11 11:06:45,76715,25561461
2022-08-11 11:06:50,70062,20885431
2022-08-11 11:06:55,78768,26856528
2022-08-11 11:07:00,69688,20595784
2022-08-11 11:07:05,76367,24667652
2022-08-11 11:07:10,77490,22862031
2022-08-11 11:07:15,128463,23566126
2022-08-11 11:07:20,158140,12470707
2022-08-11 11:07:25,159373,11251624
2022-08-11 11:07:30,161464,11036210
2022-08-11 11:07:35,160410,10730425
2022-08-11 11:07:40,144079,22905078
2022-08-11 11:07:45,81663,17225905
2022-08-11 11:07:50,90519,26083499
2022-08-11 11:07:55,89822,26933372
2022-08-11 11:08:00,90650,27781972
2022-08-11 11:08:05,78626,21735352
2022-08-11 11:08:10,91762,24315659
2022-08-11 11:08:15,87087,23887305
2022-08-11 11:08:20,85098,22687445
2022-08-11 11:08:25,77052,24256142
2022-08-11 11:08:30,89983,26187016
2022-08-11 11:08:35,88676,24747067
2022-08-11 11:08:40,91017,27443174
2022-08-11 11:08:45,82984,23995925
2022-08-11 11:08:50,81172,24934315
2022-08-11 11:08:55,88906,23546307
2022-08-11 11:09:00,83697,21058392
2022-08-11 11:09:05,90861,28319176
2022-08-11 11:09:10,75315,22748926
2022-08-11 11:09:15,83130,21939231
2022-08-11 11:09:20,93200,28226164
2022-08-11 11:09:25,83655,22837372
2022-08-11 11:09:30,89080,25664537
2022-08-11 11:09:35,120238,25501381
2022-08-11 11:09:40,171486,15211431
2022-08-11 11:09:45,172742,12817074
2022-08-11 11:09:50,164950,11354222
2022-08-11 11:09:55,168509,12246405
2022-08-11 11:10:00,145667,18939632
2022-08-11 11:10:05,71501,19376012
2022-08-11 11:10:10,82410,23960608
2022-08-11 11:10:15,76821,19270246
2022-08-11 11:10:20,79047,23031450
2022-08-11 11:10:25,75268,19801512
2022-08-11 11:10:30,82556,26088308
2022-08-11 11:10:35,83667,23142987
2022-08-11 11:10:40,80376,22762523
2022-08-11 11:10:45,70683,20692061
2022-08-11 11:10:50,84779,23072568
2022-08-11 11:10:55,76444,21202686
2022-08-11 11:11:00,87523,27538742
2022-08-11 11:11:05,76816,19079829
2022-08-11 11:11:10,72657,23823352
2022-08-11 11:11:15,86108,23579498
2022-08-11 11:11:20,81750,24105354
2022-08-11 11:11:25,86109,26859109
2022-08-11 11:11:30,80910,25107892
2022-08-11 11:11:35,75806,24148985
2022-08-11 11:11:40,88094,28273659
2022-08-11 11:11:45,82373,23979340
2022-08-11 11:11:50,82015,23828503
2022-08-11 11:11:55,94450,27070636
2022-08-11 11:12:00,152582,20626673
2022-08-11 11:12:05,172710,12441980
2022-08-11 11:12:10,171667,12241111
2022-08-11 11:12:15,168809,11408096
2022-08-11 11:12:20,168686,11981707
2022-08-11 11:12:25,82054,20635988
2022-08-11 11:12:30,64429,14755015
2022-08-11 11:12:35,79650,24739018
2022-08-11 11:12:40,75989,21038276
2022-08-11 11:12:45,78239,19566264
2022-08-11 11:12:50,77585,24384016
2022-08-11 11:12:55,77125,23573483
2022-08-11 11:13:00,77506,23024928
