Datetime,Frames,Bytes
2022-08-10 20:55:00,53608,36187870
2022-08-10 20:55:05,27493,18345933
2022-08-10 20:55:10,32274,22279405
2022-08-10 20:55:15,29255,19477801
2022-08-10 20:55:20,29172,19293634
2022-08-10 20:55:25,30302,20933686
2022-08-10 20:55:30,25142,16233025
2022-08-10 20:55:35,29455,19461599
2022-08-10 20:55:40,34520,23458372
2022-08-10 20:55:45,28229,19048261
2022-08-10 20:55:50,31490,20524856
2022-08-10 20:55:55,24824,16843584
2022-08-10 20:56:00,31927,22101190
2022-08-10 20:56:05,30522,21033702
2022-08-10 20:56:10,29059,19278470
2022-08-10 20:56:15,32475,23352526
2022-08-10 20:56:20,30090,20594599
2022-08-10 20:56:25,33257,24452719
2022-08-10 20:56:30,33456,23461212
2022-08-10 20:56:35,31088,22012567
2022-08-10 20:56:40,32297,22149232
2022-08-10 20:56:45,31801,21437381
2022-08-10 20:56:50,31911,20619886
2022-08-10 20:56:55,27453,18671977
2022-08-10 20:57:00,31441,20893350
2022-08-10 20:57:05,28947,18324779
2022-08-10 20:57:10,31708,21658319
2022-08-10 20:57:15,29843,20303027
2022-08-10 20:57:20,29272,19054294
2022-08-10 20:57:25,27913,17795979
2022-08-10 20:57:30,28400,18419927
2022-08-10 20:57:35,30946,21626603
2022-08-10 20:57:40,34688,24296787
2022-08-10 20:57:45,25078,16031554
2022-08-10 20:57:50,29757,20590808
2022-08-10 20:57:55,29903,20423582
2022-08-10 20:58:00,32418,22104439
2022-08-10 20:58:05,35309,25262904
2022-08-10 20:58:10,29378,19096063
2022-08-10 20:58:15,30128,19446811
2022-08-10 20:58:20,33999,22435974
2022-08-10 20:58:25,26847,18302481
2022-08-10 20:58:30,29383,19600745
2022-08-10 20:58:35,31333,21668939
2022-08-10 20:58:40,31453,21769002
2022-08-10 20:58:45,31418,22330731
2022-08-10 20:58:50,27870,18131418
2022-08-10 20:58:55,20496,12196055
2022-08-10 20:59:00,36452,25288750
2022-08-10 20:59:05,30250,21991431
2022-08-10 20:59:10,32774,22730221
2022-08-10 20:59:15,26440,16525091
2022-08-10 20:59:20,37390,26916231
2022-08-10 20:59:25,29578,20506573
2022-08-10 20:59:30,31378,20906993
2022-08-10 20:59:35,32976,23292245
2022-08-10 20:59:40,34434,23868723
2022-08-10 20:59:45,29062,19004489
2022-08-10 20:59:50,30495,20618541
2022-08-10 20:59:55,32428,22326718
2022-08-10 21:00:00,28646,19631619
2022-08-10 21:00:05,31388,21087355
2022-08-10 21:00:10,31282,20921318
2022-08-10 21:00:15,30011,20304777
2022-08-10 21:00:20,29072,19541521
2022-08-10 21:00:25,34954,24574551
2022-08-10 21:00:30,31155,22086960
2022-08-10 21:00:35,31582,20988230
2022-08-10 21:00:40,32070,22313402
2022-08-10 21:00:45,29355,19993480
2022-08-10 21:00:50,35830,25776185
2022-08-10 21:00:55,32043,21942874
2022-08-10 21:01:00,30809,21056971
2022-08-10 21:01:05,31622,22121165
2022-08-10 21:01:10,31806,21728318
2022-08-10 21:01:15,30735,20901887
2022-08-10 21:01:20,27689,18404626
2022-08-10 21:01:25,34023,23521248
2022-08-10 21:01:30,33871,23584379
2022-08-10 21:01:35,32409,22989328
2022-08-10 21:01:40,33831,22912974
2022-08-10 21:01:45,27270,18485184
2022-08-10 21:01:50,27395,17433799
2022-08-10 21:01:55,35782,25556483
2022-08-10 21:02:00,32859,22141028
2022-08-10 21:02:05,28161,19041059
2022-08-10 21:02:10,32641,22814403
2022-08-10 21:02:15,32658,22432056
2022-08-10 21:02:20,31135,20546086
2022-08-10 21:02:25,27142,17960267
2022-08-10 21:02:30,30343,20048411
2022-08-10 21:02:35,32013,21715932
2022-08-10 21:02:40,33833,24232913
2022-08-10 21:02:45,29413,20017670
2022-08-10 21:02:50,33240,23585944
2022-08-10 21:02:55,27266,18101093
2022-08-10 21:03:00,30754,20900606
2022-08-10 21:03:05,27786,19179125
2022-08-10 21:03:10,33782,22778547
2022-08-10 21:03:15,26964,17640432
2022-08-10 21:03:20,33593,23137426
2022-08-10 21:03:25,26892,17014292
2022-08-10 21:03:30,30509,20414351
2022-08-10 21:03:35,28891,19516257
2022-08-10 21:03:40,28069,18925689
2022-08-10 21:03:45,32830,22134020
2022-08-10 21:03:50,31377,21473162
2022-08-10 21:03:55,30340,20843743
2022-08-10 21:04:00,30857,20451026
2022-08-10 21:04:05,31426,21399392
2022-08-10 21:04:10,26673,17618265
2022-08-10 21:04:15,31266,22330098
2022-08-10 21:04:20,36949,26386986
2022-08-10 21:04:25,28032,19313972
2022-08-10 21:04:30,32162,21631974
2022-08-10 21:04:35,26290,17509646
2022-08-10 21:04:40,32147,21292123
2022-08-10 21:04:45,28496,20284217
2022-08-10 21:04:50,31175,20745205
2022-08-10 21:04:55,24740,15831865
2022-08-10 21:05:00,32778,22382229
2022-08-10 21:05:05,27738,18187393
2022-08-10 21:05:10,29197,19199642
2022-08-10 21:05:15,29773,20965699
2022-08-10 21:05:20,33864,23122425
2022-08-10 21:05:25,30245,20661361
2022-08-10 21:05:30,34244,23316942
2022-08-10 21:05:35,31266,21479564
2022-08-10 21:05:40,29517,18898248
2022-08-10 21:05:45,32877,22612600
2022-08-10 21:05:50,29520,19814887
2022-08-10 21:05:55,28460,18625166
2022-08-10 21:06:00,29895,20649108
2022-08-10 21:06:05,34010,23804290
2022-08-10 21:06:10,33478,23466498
2022-08-10 21:06:15,26480,17411730
2022-08-10 21:06:20,27690,18542498
2022-08-10 21:06:25,29667,20029665
2022-08-10 21:06:30,30372,19791670
2022-08-10 21:06:35,31515,21697676
2022-08-10 21:06:40,31039,20802075
2022-08-10 21:06:45,34849,23679703
2022-08-10 21:06:50,29711,19336761
2022-08-10 21:06:55,31294,22151559
2022-08-10 21:07:00,29357,20299579
2022-08-10 21:07:05,27203,17934797
2022-08-10 21:07:10,33161,21988162
2022-08-10 21:07:15,36055,25138603
2022-08-10 21:07:20,28502,18823696
2022-08-10 21:07:25,36180,24971007
2022-08-10 21:07:30,30862,20656671
2022-08-10 21:07:35,25119,17131196
2022-08-10 21:07:40,42277,30772127
2022-08-10 21:07:45,28175,19928789
2022-08-10 21:07:50,34772,24211677
2022-08-10 21:07:55,31915,21678762
2022-08-10 21:08:00,33155,21928393
2022-08-10 21:08:05,27229,18172580
2022-08-10 21:08:10,32529,22326768
2022-08-10 21:08:15,31160,20422753
2022-08-10 21:08:20,25280,16197316
2022-08-10 21:08:25,24719,15472270
2022-08-10 21:08:30,33702,23224447
2022-08-10 21:08:35,28577,19677782
2022-08-10 21:08:40,37735,25950607
2022-08-10 21:08:45,28345,19542484
2022-08-10 21:08:50,32872,22060265
2022-08-10 21:08:55,32899,22959175
2022-08-10 21:09:00,26242,18224154
2022-08-10 21:09:05,23325,14159778
2022-08-10 21:09:10,33594,23352230
2022-08-10 21:09:15,29946,19861343
2022-08-10 21:09:20,31737,21428235
2022-08-10 21:09:25,27734,17915248
2022-08-10 21:09:30,31978,22183005
2022-08-10 21:09:35,27622,18556209
2022-08-10 21:09:40,31925,21858078
2022-08-10 21:09:45,29222,19359236
2022-08-10 21:09:50,31363,21157308
2022-08-10 21:09:55,34939,23740111
2022-08-10 21:10:00,30302,21222502
2022-08-10 21:10:05,34314,23778097
2022-08-10 21:10:10,27988,17305433
2022-08-10 21:10:15,30912,22062416
2022-08-10 21:10:20,29419,19342055
2022-08-10 21:10:25,33725,23802664
2022-08-10 21:10:30,25718,15832849
2022-08-10 21:10:35,27789,18943242
2022-08-10 21:10:40,36710,25571938
2022-08-10 21:10:45,29920,20442808
2022-08-10 21:10:50,30716,20165252
2022-08-10 21:10:55,38466,26770449
2022-08-10 21:11:00,25321,16785993
2022-08-10 21:11:05,35331,24844782
2022-08-10 21:11:10,22572,14465890
2022-08-10 21:11:15,30616,21036630
2022-08-10 21:11:20,29936,19799915
2022-08-10 21:11:25,27907,19012186
2022-08-10 21:11:30,31870,21000610
2022-08-10 21:11:35,31789,22543024
2022-08-10 21:11:40,31315,21603559
2022-08-10 21:11:45,35606,25879988
2022-08-10 21:11:50,25050,17635629
2022-08-10 21:11:55,32436,22095774
2022-08-10 21:12:00,33107,23192608
2022-08-10 21:12:05,34098,23312438
2022-08-10 21:12:10,29435,20985423
2022-08-10 21:12:15,34072,23016590
2022-08-10 21:12:20,30188,20845691
2022-08-10 21:12:25,27921,18171781
2022-08-10 21:12:30,31368,21163332
2022-08-10 21:12:35,31478,21758672
2022-08-10 21:12:40,31123,21701007
2022-08-10 21:12:45,26674,17028351
2022-08-10 21:12:50,28366,19453817
2022-08-10 21:12:55,31861,21100950
2022-08-10 21:13:00,29426,19657922
2022-08-10 21:13:05,30577,20283703
2022-08-10 21:13:10,32174,21069353
2022-08-10 21:13:15,35310,25394035
2022-08-10 21:13:20,29177,18901451
2022-08-10 21:13:25,34557,23537024
2022-08-10 21:13:30,28070,18518587
2022-08-10 21:13:35,29917,19219169
2022-08-10 21:13:40,31480,22045293
2022-08-10 21:13:45,36078,25788743
2022-08-10 21:13:50,27922,17483455
2022-08-10 21:13:55,28794,18911569
2022-08-10 21:14:00,35012,25364283
2022-08-10 21:14:05,33100,22994329
2022-08-10 21:14:10,32464,21893905
2022-08-10 21:14:15,25765,17661294
2022-08-10 21:14:20,31812,21000108
2022-08-10 21:14:25,27786,17792108
2022-08-10 21:14:30,28824,19228707
2022-08-10 21:14:35,31830,21844438
2022-08-10 21:14:40,29400,19333174
2022-08-10 21:14:45,26768,17781406
2022-08-10 21:14:50,27480,18239400
2022-08-10 21:14:55,31851,21318266
2022-08-10 21:15:00,28577,18729543
2022-08-10 21:15:05,31925,21342078
2022-08-10 21:15:10,72332,36564970
2022-08-10 21:15:15,153286,115157580
2022-08-10 21:15:20,116733,77155663
2022-08-10 21:15:25,160449,110663762
2022-08-10 21:15:30,133726,89141059
2022-08-10 21:15:35,143807,95950741
2022-08-10 21:15:40,146675,100275300
2022-08-10 21:15:45,143377,95555517
2022-08-10 21:15:50,133534,87318973
2022-08-10 21:15:55,147896,101704757
2022-08-10 21:16:00,128982,83188662
2022-08-10 21:16:05,146242,97504793
2022-08-10 21:16:10,141155,94997637
2022-08-10 21:16:15,132790,88440069
2022-08-10 21:16:20,144333,97597194
2022-08-10 21:16:25,137650,90630841
2022-08-10 21:16:30,133432,88174267
2022-08-10 21:16:35,152871,101617324
2022-08-10 21:16:40,146801,100745748
2022-08-10 21:16:45,141515,93008888
2022-08-10 21:16:50,136876,91117359
2022-08-10 21:16:55,134168,88733388
2022-08-10 21:17:00,146549,101781398
2022-08-10 21:17:05,131474,90043130
2022-08-10 21:17:10,131141,89279785
2022-08-10 21:17:15,136320,92476536
2022-08-10 21:17:20,127681,84665888
2022-08-10 21:17:25,133951,90431531
2022-08-10 21:17:30,141150,96517427
2022-08-10 21:17:35,127403,85112771
2022-08-10 21:17:40,133542,89765049
2022-08-10 21:17:45,144991,100489456
2022-08-10 21:17:50,127882,85395770
2022-08-10 21:17:55,124451,83035052
2022-08-10 21:18:00,135827,94267406
2022-08-10 21:18:05,137455,91245682
2022-08-10 21:18:10,122108,80497102
2022-08-10 21:18:15,125065,82268917
2022-08-10 21:18:20,123178,81352701
2022-08-10 21:18:25,133371,87419830
2022-08-10 21:18:30,127553,83968145
2022-08-10 21:18:35,123742,80990269
2022-08-10 21:18:40,125679,84024562
2022-08-10 21:18:45,122993,81816834
2022-08-10 21:18:50,135583,90745817
2022-08-10 21:18:55,131065,87431891
2022-08-10 21:19:00,128811,88715797
2022-08-10 21:19:05,136204,91114971
2022-08-10 21:19:10,130599,87480905
2022-08-10 21:19:15,125125,82292535
2022-08-10 21:19:20,131597,89126180
2022-08-10 21:19:25,133889,90796700
2022-08-10 21:19:30,132273,90285844
2022-08-10 21:19:35,130999,88675772
2022-08-10 21:19:40,122868,80911438
2022-08-10 21:19:45,132323,89579171
2022-08-10 21:19:50,123264,80709224
2022-08-10 21:19:55,131212,88139897
2022-08-10 21:20:00,124547,81688200
2022-08-10 21:20:05,133836,89243624
2022-08-10 21:20:10,125915,81131837
2022-08-10 21:20:15,132744,88321466
2022-08-10 21:20:20,123739,83145498
2022-08-10 21:20:25,134226,91889594
2022-08-10 21:20:30,137595,92319671
2022-08-10 21:20:35,133053,91451071
2022-08-10 21:20:40,123852,81839599
2022-08-10 21:20:45,135752,90843239
2022-08-10 21:20:50,126105,83692394
2022-08-10 21:20:55,131819,88338710
2022-08-10 21:21:00,125929,83037700
2022-08-10 21:21:05,75694,49581665
2022-08-10 21:21:10,116615,77346503
2022-08-10 21:21:15,114392,77610495
2022-08-10 21:21:20,136955,91311288
2022-08-10 21:21:25,125832,83609238
2022-08-10 21:21:30,135034,91069116
2022-08-10 21:21:35,129045,84404403
2022-08-10 21:21:40,119472,78410901
2022-08-10 21:21:45,132086,89446280
2022-08-10 21:21:50,133675,90430868
2022-08-10 21:21:55,123831,82893846
2022-08-10 21:22:00,127275,83472759
2022-08-10 21:22:05,122388,81847298
2022-08-10 21:22:10,129653,86392095
2022-08-10 21:22:15,137580,95006885
2022-08-10 21:22:20,136329,92582261
2022-08-10 21:22:25,126546,85717946
2022-08-10 21:22:30,128374,85161003
2022-08-10 21:22:35,127904,85245278
2022-08-10 21:22:40,123849,82617632
2022-08-10 21:22:45,127978,86847572
2022-08-10 21:22:50,131851,87418669
2022-08-10 21:22:55,132302,88121976
2022-08-10 21:23:00,134093,90801089
2022-08-10 21:23:05,126423,81632573
2022-08-10 21:23:10,132310,90661840
2022-08-10 21:23:15,129401,85346077
2022-08-10 21:23:20,133124,87813589
2022-08-10 21:23:25,126168,83535978
2022-08-10 21:23:30,139513,95890184
2022-08-10 21:23:35,128310,86086349
2022-08-10 21:23:40,137184,92145839
2022-08-10 21:23:45,124724,84053832
2022-08-10 21:23:50,127389,84329810
2022-08-10 21:23:55,127132,86860735
2022-08-10 21:24:00,137884,92620362
2022-08-10 21:24:05,130651,89431211
2022-08-10 21:24:10,132238,90085169
2022-08-10 21:24:15,117736,79593363
2022-08-10 21:24:20,132868,88380495
2022-08-10 21:24:25,132302,90109928
2022-08-10 21:24:30,131263,84834616
2022-08-10 21:24:35,130058,86207604
2022-08-10 21:24:40,125503,83120008
2022-08-10 21:24:45,136692,91997426
2022-08-10 21:24:50,129023,87802348
2022-08-10 21:24:55,123899,80218695
2022-08-10 21:25:00,130028,87471390
2022-08-10 21:25:05,131816,88364919
2022-08-10 21:25:10,128976,84542359
2022-08-10 21:25:15,136780,89627318
2022-08-10 21:25:20,130010,86783316
2022-08-10 21:25:25,127357,84253975
2022-08-10 21:25:30,139851,94399103
2022-08-10 21:25:35,130195,87820709
2022-08-10 21:25:40,128269,85396180
2022-08-10 21:25:45,131442,87969939
2022-08-10 21:25:50,136032,91943166
2022-08-10 21:25:55,130275,87881896
2022-08-10 21:26:00,131875,88291068
2022-08-10 21:26:05,127197,83960444
2022-08-10 21:26:10,130288,88075905
2022-08-10 21:26:15,132725,90153961
2022-08-10 21:26:20,138141,93845530
2022-08-10 21:26:25,128144,88026862
2022-08-10 21:26:30,117395,78427092
2022-08-10 21:26:35,123462,79628162
2022-08-10 21:26:40,136832,93339645
2022-08-10 21:26:45,126936,84208860
2022-08-10 21:26:50,132624,89880665
2022-08-10 21:26:55,127233,86381530
2022-08-10 21:27:00,132753,89443396
2022-08-10 21:27:05,116489,77535567
2022-08-10 21:27:10,139959,92959685
2022-08-10 21:27:15,121727,80016603
2022-08-10 21:27:20,140357,94313940
2022-08-10 21:27:25,129965,87020879
2022-08-10 21:27:30,127799,86290547
2022-08-10 21:27:35,130981,87846950
2022-08-10 21:27:40,124107,81671788
2022-08-10 21:27:45,129177,85733365
2022-08-10 21:27:50,129633,85513702
2022-08-10 21:27:55,132337,89632114
2022-08-10 21:28:00,122285,81936522
2022-08-10 21:28:05,125704,82970220
2022-08-10 21:28:10,125646,83099104
2022-08-10 21:28:15,125343,83553346
2022-08-10 21:28:20,126265,84108009
2022-08-10 21:28:25,137768,94290492
2022-08-10 21:28:30,135954,91726946
2022-08-10 21:28:35,126079,84705993
2022-08-10 21:28:40,133029,89160041
2022-08-10 21:28:45,128870,84715545
2022-08-10 21:28:50,136640,92237621
2022-08-10 21:28:55,121553,80343154
2022-08-10 21:29:00,127161,84498628
2022-08-10 21:29:05,128701,86805390
2022-08-10 21:29:10,134202,90484591
2022-08-10 21:29:15,124933,83306010
2022-08-10 21:29:20,143065,98145223
2022-08-10 21:29:25,124184,81940920
2022-08-10 21:29:30,140323,96377888
2022-08-10 21:29:35,126829,84294766
2022-08-10 21:29:40,133125,88298761
2022-08-10 21:29:45,131207,87749167
2022-08-10 21:29:50,130553,88559339
2022-08-10 21:29:55,123580,81232342
2022-08-10 21:30:00,133619,89963188
2022-08-10 21:30:05,129411,88494917
2022-08-10 21:30:10,137151,91935111
2022-08-10 21:30:15,131697,89434015
2022-08-10 21:30:20,130882,88524069
2022-08-10 21:30:25,130171,85890030
2022-08-10 21:30:30,138097,95150069
2022-08-10 21:30:35,130846,87270596
2022-08-10 21:30:40,134062,89599832
2022-08-10 21:30:45,128846,86464610
2022-08-10 21:30:50,132983,89185812
2022-08-10 21:30:55,132904,89975215
2022-08-10 21:31:00,134991,90932952
2022-08-10 21:31:05,131464,89383272
2022-08-10 21:31:10,125324,83362446
2022-08-10 21:31:15,133556,90846611
2022-08-10 21:31:20,127708,86388468
2022-08-10 21:31:25,132630,90075466
2022-08-10 21:31:30,124365,85592133
2022-08-10 21:31:35,139629,93850691
2022-08-10 21:31:40,126608,85405117
2022-08-10 21:31:45,122052,79951761
2022-08-10 21:31:50,137732,93636305
2022-08-10 21:31:55,131813,89079542
2022-08-10 21:32:00,125124,83041041
2022-08-10 21:32:05,135318,89619522
2022-08-10 21:32:10,124406,82531913
2022-08-10 21:32:15,133814,90843981
2022-08-10 21:32:20,125575,84355618
2022-08-10 21:32:25,125669,83877308
2022-08-10 21:32:30,130326,88124123
2022-08-10 21:32:35,128094,85291033
2022-08-10 21:32:40,120608,79018376
2022-08-10 21:32:45,123111,81269462
2022-08-10 21:32:50,126146,83128294
2022-08-10 21:32:55,139314,92569388
2022-08-10 21:33:00,136947,93278731
2022-08-10 21:33:05,145879,99563263
2022-08-10 21:33:10,140139,95475646
2022-08-10 21:33:15,144884,99306196
2022-08-10 21:33:20,147807,100591700
2022-08-10 21:33:25,146493,99989098
2022-08-10 21:33:30,149678,99680219
2022-08-10 21:33:35,130758,86735173
2022-08-10 21:33:40,150825,101996107
2022-08-10 21:33:45,144047,98551363
2022-08-10 21:33:50,135599,89832787
2022-08-10 21:33:55,135874,90828562
2022-08-10 21:34:00,141946,94126482
2022-08-10 21:34:05,139492,94032198
2022-08-10 21:34:10,139573,93665739
